date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:59	20/20	---M--	200	added ('OK')	text/plain	etag:%22bfca250-0-46bb306c90d00%22	http://www.trekbrasilis.org/robots.txt		(from )
22:59:00	25318/25318	---M--	200	added ('OK')	text/html	etag:%22bfca330-62e6-445066441d940%22	http://www.trekbrasilis.org/classico/	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/index.html	(from )
22:59:01	10776/10776	---M--	200	added ('OK')	image/jpeg	etag:%22bfca338-2a18-4434b09087500%22	http://www.trekbrasilis.org/classico/logo.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/logo.jpg	(from )
22:59:01	22678/22678	---MC-	200	added ('OK')	text/javascript	date:Tue,%2025%20Oct%202011%2018:20:40%20GMT	http://www.google-analytics.com/urchin.js	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.google-analytics.com/urchin.js	(from )
22:59:01	11176/11176	---M--	200	added ('OK')	text/html	etag:%22bfce572-2ba8-4435010043b00%22	http://www.trekbrasilis.org/classico/guia/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/guia/index.html	(from )
22:59:02	1275/1275	---M--	200	added ('OK')	image/jpeg	etag:%22bfca32e-4fb-4434b0a76ab00%22	http://www.trekbrasilis.org/classico/guia.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/guia.jpg	(from )
22:59:02	13062/13062	---MC-	200	added ('OK')	text/javascript	date:Wed,%2002%20Nov%202011%2018:17:51%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/pagead2.googlesyndication.com/pagead/show_ads.js	(from )
22:59:02	21678/21678	---M--	200	added ('OK')	text/html	etag:%22bfce228-54ae-4434f2c169f00%22	http://www.trekbrasilis.org/classico/equipe/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/equipe/index.html	(from )
22:59:02	900/900	---M--	200	added ('OK')	image/jpeg	etag:%22bfca320-384-4434b0b9895c0%22	http://www.trekbrasilis.org/classico/equipe.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/equipe.jpg	(from )
22:59:02	9909/9909	---M--	200	added ('OK')	text/html	etag:%22bfce059-26b5-4434eccc7d140%22	http://www.trekbrasilis.org/classico/entretenimento/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/entretenimento/index.html	(from )
22:59:02	1467/1467	---M--	200	added ('OK')	image/jpeg	etag:%22bfca31e-5bb-4434b0be4e100%22	http://www.trekbrasilis.org/classico/entretenimento.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/entretenimento.jpg	(from )
22:59:03	13003/13003	---M--	200	added ('OK')	text/html	etag:%22bfce580-32cb-4435015247c80%22	http://www.trekbrasilis.org/classico/interacao/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/interacao/index.html	(from )
22:59:03	1145/1145	---M--	200	added ('OK')	image/jpeg	etag:%22bfca333-479-4434b09de1480%22	http://www.trekbrasilis.org/classico/interacao.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/interacao.jpg	(from )
22:59:03	10417/10417	---M--	200	added ('OK')	text/html	etag:%22bfce21c-28b1-4434f0d369180%22	http://www.trekbrasilis.org/classico/entrevistas/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/entrevistas/index.html	(from )
22:59:03	1271/1271	---M--	200	added ('OK')	image/jpeg	etag:%22bfca31f-4f7-4434b0bb71a40%22	http://www.trekbrasilis.org/classico/entrevistas.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/entrevistas.jpg	(from )
22:59:04	16378/16378	---M--	200	added ('OK')	text/html	etag:%22bfce591-3ffa-44350184d33c0%22	http://www.trekbrasilis.org/classico/links/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/links/index.html	(from )
22:59:04	838/838	---M--	200	added ('OK')	image/jpeg	etag:%22bfca337-346-4434b0926f980%22	http://www.trekbrasilis.org/classico/links.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/links.jpg	(from )
22:59:04	886/886	---M--	200	added ('OK')	image/jpeg	etag:%22bfca327-376-4434b0b0f4180%22	http://www.trekbrasilis.org/classico/forum.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/forum.jpg	(from )
22:59:04	399/399	---M--	200	added ('OK')	text/html	etag:%22bfcace0-18f-4434c479eaf40%22	http://www.trekbrasilis.org/classico/chat/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/chat/index.html	(from )
22:59:05	1112/1112	---M--	200	added ('OK')	image/jpeg	etag:%22bfca308-458-4434b0e938640%22	http://www.trekbrasilis.org/classico/batepapo.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/batepapo.jpg	(from )
22:59:05	281/281	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Nov%202011%2000:59:16%20GMT	http://www.trekbrasilis.net/robots.txt		(from http://www.trekbrasilis.org/classico/)
22:59:05	229/229	---M--	200	added ('OK')	image/gif	etag:%22bfca328-e5-4434b0affff40%22	http://www.trekbrasilis.org/classico/fundo1.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/fundo1.gif	(from )
22:59:05	1350/1350	---M--	200	added ('OK')	image/gif	etag:%22bfca32a-546-4434b0ad23880%22	http://www.trekbrasilis.org/classico/fundodestaque.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/fundodestaque.gif	(from )
22:59:06	233/233	---M--	200	added ('OK')	image/gif	etag:%22bfca346-e9-4434b0ed08f40%22	http://www.trekbrasilis.org/classico/topodestaque.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/topodestaque.gif	(from )
22:59:07	22955/22955	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Nov%202011%2000:59:18%20GMT	http://www.trekbrasilis.org/classico/forum/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/forum/index.16.delayed	(from )
22:59:07	269/269	---M--	200	added ('OK')	image/gif	etag:%22bfca32b-10d-4434b0ac2f640%22	http://www.trekbrasilis.org/classico/fundomenu.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/fundomenu.gif	(from )
22:59:07	634/634	---M--	200	added ('OK')	image/gif	etag:%22bfca344-27a-4434b09b04dc0%22	http://www.trekbrasilis.org/classico/topobarra.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/topobarra.gif	(from )
22:59:07	22334/22334	---M--	200	added ('OK')	text/html	etag:%22bfca309-573e-4434b0e844400%22	http://www.trekbrasilis.org/classico/breve.htm	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/breve.htm	(from )
22:59:08	2350/2350	---M--	200	added ('OK')	image/gif	etag:%22bfca32f-92e-4434b0a6768c0%22	http://www.trekbrasilis.org/classico/historia.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/historia.gif	(from )
22:59:08	9249/9249	---M--	200	added ('OK')	text/html	etag:%22bfcebda-2421-4435f824ed080%22	http://www.trekbrasilis.org/classico/tos/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/tos/index.html	(from )
22:59:08	1363/1363	---M--	200	added ('OK')	image/gif	etag:%22bfca347-553-4434b084217c0%22	http://www.trekbrasilis.org/classico/tos.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/tos.gif	(from )
22:59:08	7884/7884	---M--	200	added ('OK')	text/html	etag:%22bfce6f7-1ecc-4435e50a7be80%22	http://www.trekbrasilis.org/classico/tas/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/tas/index.html	(from )
22:59:09	1277/1277	---M--	200	added ('OK')	image/gif	etag:%22bfca341-4fd-4434b08609c40%22	http://www.trekbrasilis.org/classico/tas.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/tas.gif	(from )
22:59:09	8723/8723	---M--	200	added ('OK')	text/html	etag:%22bfce26b-2213-4434f3516b2c0%22	http://www.trekbrasilis.org/classico/fase2/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/fase2/index.html	(from )
22:59:09	901/901	---M--	200	added ('OK')	image/gif	etag:%22bfca324-385-4434b0ec14d00%22	http://www.trekbrasilis.org/classico/fii.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/fii.gif	(from )
22:59:09	9726/9726	---M--	200	added ('OK')	text/html	etag:%22bfce736-25fe-4435efc6050c0%22	http://www.trekbrasilis.org/classico/tng/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/tng/index.html	(from )
22:59:10	1337/1337	---M--	200	added ('OK')	image/gif	etag:%22bfca342-539-4434b08ace780%22	http://www.trekbrasilis.org/classico/tng.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/tng.gif	(from )
22:59:10	9640/9640	---M--	200	added ('OK')	text/html	etag:%22bfcacef-25a8-4434cbcdcb900%22	http://www.trekbrasilis.org/classico/ds9/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ds9/index.html	(from )
22:59:10	1301/1301	---M--	200	added ('OK')	image/gif	etag:%22bfca317-515-4434b0c8cb9c0%22	http://www.trekbrasilis.org/classico/ds9.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ds9.gif	(from )
22:59:10	9843/9843	---M--	200	added ('OK')	text/html	etag:%22bfcf07f-2673-443605c853dc0%22	http://www.trekbrasilis.org/classico/voy/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/voy/index.html	(from )
22:59:11	1019/1019	---M--	200	added ('OK')	image/gif	etag:%22bfca34b-3fb-4434b07e68a40%22	http://www.trekbrasilis.org/classico/voy.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/voy.gif	(from )
22:59:11	9693/9693	---M--	200	added ('OK')	text/html	etag:%22bfcb084-25dd-4434ea32d2ec0%22	http://www.trekbrasilis.org/classico/ent/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ent/index.html	(from )
22:59:11	1105/1105	---M--	200	added ('OK')	image/gif	etag:%22bfca31c-451-4434b0c12a7c0%22	http://www.trekbrasilis.org/classico/ent.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ent.gif	(from )
22:59:11	9633/9633	---M--	200	added ('OK')	text/html	etag:%22bfce28b-25a1-4434fa4129040%22	http://www.trekbrasilis.org/classico/filmes/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/filmes/index.html	(from )
22:59:12	913/913	---M--	200	added ('OK')	image/gif	etag:%22bfca325-391-4434b0b3d0840%22	http://www.trekbrasilis.org/classico/filmes.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/filmes.gif	(from )
22:59:12	9240/9240	---M--	200	added ('OK')	text/html	etag:%22bfcef8e-2418-4435f9922ee40%22	http://www.trekbrasilis.org/classico/universo/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/universo/index.html	(from )
22:59:12	2324/2324	---M--	200	added ('OK')	image/gif	etag:%22bfca34a-914-4434b08050ec0%22	http://www.trekbrasilis.org/classico/universo.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/universo.gif	(from )
22:59:13	8271/8271	---M--	200	added ('OK')	text/html	etag:%22bfcb044-204f-444ef03889d80%22	http://www.trekbrasilis.org/classico/enciclopedia/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/enciclopedia/index.html	(from )
22:59:13	1393/1393	---M--	200	added ('OK')	image/gif	etag:%22bfca31b-571-4434b0c312c40%22	http://www.trekbrasilis.org/classico/enciclopedia.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/enciclopedia.gif	(from )
22:59:13	4712/4712	---M--	200	added ('OK')	text/html	etag:%22bfce27c-1268-4434f4fac1e40%22	http://www.trekbrasilis.org/classico/ficcao/index.html	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ficcao/index.html	(from )
22:59:13	1196/1196	---M--	200	added ('OK')	image/gif	etag:%22bfca322-4ac-4434b0b6acf00%22	http://www.trekbrasilis.org/classico/ficcao.gif	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ficcao.gif	(from )
22:59:13	3996/3996	---M--	200	added ('OK')	image/jpeg	etag:%22bfca349-f9c-4434b08239340%22	http://www.trekbrasilis.org/classico/ultimas.jpg	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.org/classico/ultimas.jpg	(from )
22:59:14	296/296	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Nov%202011%2000:59:26%20GMT	http://www.trekbrasilis.net/forum/topics_anywhere.php?mode=show&f=1&n=25&r=y&sr=y&b=0&lpb=1&lpd=0&cl=X	C:/Users/udef01/Documents/Sites%20Baixados/TrekBrasilis/www.trekbrasilis.net/forum/topics_anywhere.321478.delayed	(from )
